Opinion;Rating
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
The only way to get my husband to read this series. He's hooked!;positive
This book is exactly the kind of thing I'm into. The plot, the action, the dark, mysterious-ness of it. I just love it all! I can never put the book down once I start reading it and I'm really looking forward to the rest of the series all summer!;positive
The eye of the world is the beginning of a 12 book series that will end with one last book. The author died before finishing the last one, but gave extensive notes and verbal recordings of the plots and characters for the author who was to finish the series. Another fantasy autor, Brandon Sanderson, will complete this amazing saga. This first book, (not counting the prequel) starts out small, compared to the levels the others reach. That said, it is still a must read for any true fantasy fan. The scope of the characters and plot is enormous throughout the entire story. You will find yourself pulled into the story and wanting to finish all of the wheel of time books.;positive
I remember the day I began reading the first book of this series. From that day forward I was hooked on the Wheel of Time. The imagination and detail Jordan put into these novels is astounding. Jordan catches you hook...line...and sinker with each novel, then won't mention a main character for a whole book. Don't let that deter you, because this has got to be the best Fantasy series ever! I just hope the 13th and last book lives up to the standard Jordan set in the first 12 books.;positive
Wheel of time is by far the best series of books I've ever read, with fasinating characters and intricate plots.;positive
